filename,width,height,class,xmin,ymin,xmax,ymax
0000b9115cdf1e54.jpg,1024,768,Beer,32,225,234,382
0000b9115cdf1e54.jpg,1024,768,Beer,449,259,609,422
000667b7ed2c38f8.jpg,1024,768,Beer,24,0,510,739
000c929962080df0.jpg,1024,768,Beer,265,516,376,615
000e3d9b013f8316.jpg,1024,768,Beer,414,394,537,665
000e3d9b013f8316.jpg,1024,768,Beer,699,466,817,686
0011e5d4c30a5b42.jpg,1024,768,Hamburger,0,0,1023,753
0012119430478f5a.jpg,1024,608,Hamburger,544,0,959,394
00129974920bdf01.jpg,1024,768,Pizza,85,63,852,679
0012aa7a73b51d94.jpg,765,1024,Beer,432,741,595,941
0012aa7a73b51d94.jpg,765,1024,Beer,66,707,204,864
0012cc1f1c9c9b2a.jpg,1024,1024,Pizza,16,446,799,962
0012cc1f1c9c9b2a.jpg,1024,1024,Pizza,235,230,918,491
0012cc1f1c9c9b2a.jpg,1024,1024,Pizza,595,160,1022,404
0016ceb3a04dae09.jpg,1024,768,Beer,597,340,749,560
0018471dd5d247a8.jpg,1024,768,Pizza,263,235,741,585
001a87e0f33e2914.jpg,1024,1024,Beer,214,0,457,638
001a87e0f33e2914.jpg,1024,1024,Beer,435,68,788,764
001ac70b6184abed.jpg,1024,768,Hamburger,170,346,366,535
001ac70b6184abed.jpg,1024,768,Hamburger,407,235,559,326
001e2cd338ff3ed0.jpg,1024,768,Beer,406,238,627,476
002281af9a08c5d9.jpg,1024,768,Hamburger,196,19,739,618
0026c070b0edd913.jpg,1024,1024,Hamburger,310,430,889,976
003f01c9cfa0e3b5.jpg,1024,768,Beer,343,80,668,669
00418b9e122769a3.jpg,1024,1024,Beer,118,62,729,1020
0044d20df995abde.jpg,1024,685,Pizza,106,90,1014,505
0045d42eaf89f2f7.jpg,1024,576,Beer,216,0,824,575
0045de272925335b.jpg,1024,683,Beer,261,190,501,490
004e68960945d82d.jpg,1024,768,Beer,155,28,396,416
004e68960945d82d.jpg,1024,768,Beer,492,275,604,451
0051d14ab717cbe0.jpg,1024,768,Pizza,0,0,1023,767
0054bc54f86cb9cb.jpg,1024,768,Pizza,163,78,829,737
0056afb158c56b75.jpg,1024,768,Pizza,0,113,1023,706
00587609c0f18762.jpg,786,768,Beer,180,74,605,684
0058e2b10cee7ef9.jpg,1024,936,Beer,0,42,692,935
0059238c9ec63fe5.jpg,1024,768,Beer,15,387,213,721
0059238c9ec63fe5.jpg,1024,768,Beer,252,362,434,505
0059238c9ec63fe5.jpg,1024,768,Beer,418,427,610,767
0059238c9ec63fe5.jpg,1024,768,Beer,465,282,613,417
0059238c9ec63fe5.jpg,1024,768,Beer,618,232,778,497
0059238c9ec63fe5.jpg,1024,768,Beer,691,351,871,697
0059238c9ec63fe5.jpg,1024,768,Beer,839,164,992,465
00658ec9543609a5.jpg,1024,768,Pizza,0,0,1013,767
00679d9a75e51bee.jpg,768,768,Pizza,24,337,343,762
00679d9a75e51bee.jpg,768,768,Pizza,357,225,741,735
006b4ae674380a24.jpg,1024,683,Hamburger,289,178,849,682
006e452efd8b8271.jpg,1024,768,Hamburger,149,0,1022,766
00723ad5d7021de5.jpg,768,1024,Beer,366,266,563,366
007491a9bdd2c0e7.jpg,1024,683,Pizza,94,187,958,682
007c209f26d45108.jpg,1024,768,Pizza,19,91,455,334
007c209f26d45108.jpg,1024,768,Pizza,80,0,459,90
007c209f26d45108.jpg,1024,768,Pizza,431,0,1000,290
